Rating,Weak_foot,Skill_Moves,Potential,WageUnified
82,2,3,80,25000
73,3,2,71,10000
61,4,2,61,1000
71,4,2,72,15000
69,2,3,75,57000
70,2,1,72,30000
69,4,2,69,9000
68,3,2,66,2000
66,2,1,65,1000
76,3,2,76,35000
61,3,1,61,1000
77,4,3,77,19000
70,3,2,71,8000
72,4,2,71,6000
69,2,3,69,4000
75,3,2,74,15000
72,3,2,72,4000
69,3,2,69,4000
69,4,3,67,10000
73,3,1,74,36000
83,4,2,83,73000
60,3,3,60,1000
65,2,1,65,4000
68,4,2,69,6000
71,2,2,71,5000
69,2,1,67,3000
78,3,2,74,45000
70,3,3,69,23000
69,3,2,67,3000
82,3,2,81,110000
77,3,2,77,16000
56,2,2,54,1000
70,3,1,70,15000
69,4,1,73,42000
66,2,3,66,4000
65,2,1,64,3000
68,3,3,68,4000
65,3,2,65,3000
60,4,2,60,3000
68,3,3,67,7000
63,4,3,63,3000
66,3,3,66,4000
80,3,2,80,110000
68,1,2,67,5000
62,3,1,62,1000
75,3,3,73,19000
72,3,2,71,16000
75,5,3,75,51000
64,2,1,64,11000
83,4,3,81,120000
76,2,4,75,57000
73,2,1,73,14000
67,3,1,67,4000
74,3,1,73,21000
67,3,2,67,3000
74,4,3,73,42000
73,3,2,73,5000
62,3,2,62,3000
59,2,1,59,1000
76,4,2,75,20000
81,4,1,82,30000
70,4,4,69,5000
69,4,2,68,4000
68,4,4,69,3000
65,3,1,64,2000
64,3,2,65,1000
73,2,1,72,6000
67,3,1,67,2000
68,4,3,66,3000
76,3,1,77,32000
74,3,2,74,5000
84,3,3,84,38000
72,1,1,72,16000
72,3,2,72,20000
70,3,1,70,18000
65,2,1,65,1000
72,3,3,71,6000
74,3,1,75,20000
68,2,2,68,4000
70,3,1,70,2000
72,3,3,75,22000
69,3,2,69,15000
83,3,2,82,115000
70,2,1,74,9000
76,3,2,77,44000
68,3,2,69,7000
67,3,1,67,3000
70,3,1,70,3000
81,2,1,81,46000
70,3,2,70,5000
75,3,1,76,18000
72,3,2,72,6000
65,2,2,69,4000
74,3,1,73,4000
66,4,1,67,5000
66,4,4,65,7000
68,4,3,67,9000
81,3,1,80,59000
75,5,3,73,28000
80,3,2,78,41000
81,2,2,80,21000
65,3,3,64,4000
74,3,3,74,16000
72,3,3,70,12000
78,3,2,78,31000
74,4,2,73,7000
82,5,4,82,12000
67,3,1,67,10000
77,3,1,77,13000
79,3,1,77,27000
68,3,1,68,9000
75,3,2,74,18000
68,3,1,66,7000
71,3,3,70,5000
81,3,1,81,34000
69,2,3,69,3000
69,3,1,69,3000
75,3,1,73,5000
67,3,3,67,5000
69,1,1,66,7000
66,3,1,65,1000
64,4,1,63,2000
73,3,1,74,12000
77,3,2,74,12000
60,3,1,59,1000
88,3,2,86,94000
72,3,1,71,17000
70,3,1,70,16000
78,2,3,77,34000
72,4,2,71,14000
80,3,1,79,28000
75,3,1,74,19000
82,3,3,81,13000
71,3,2,69,5000
64,3,1,64,1000
70,4,2,70,6000
65,3,1,65,3000
65,2,1,66,4000
75,4,3,74,17000
59,3,2,62,2000
76,2,2,78,15000
72,3,2,70,3000
70,3,2,70,4000
71,3,2,70,12000
79,3,3,78,38000
78,4,3,76,59000
80,5,2,80,73000
71,2,2,70,12000
67,2,2,67,10000
67,2,1,67,5000
76,2,2,74,7000
73,2,1,71,10000
70,2,1,67,6000
76,2,3,75,51000
69,3,2,68,10000
70,3,3,70,11000
72,3,2,71,12000
68,2,1,68,7000
72,4,2,73,31000
70,4,2,70,11000
71,3,1,73,20000
75,3,3,75,26000
80,4,3,80,56000
67,4,2,67,4000
77,3,3,78,30000
66,3,3,66,3000
74,3,3,76,53000
67,3,2,66,2000
72,4,3,71,31000
71,3,2,71,10000
70,3,1,70,26000
63,4,3,63,2000
63,3,3,63,2000
72,3,3,72,8000
70,3,2,64,2000
71,3,2,72,21000
78,2,1,79,33000
82,4,3,82,130000
67,3,1,68,19000
76,3,2,76,25000
74,4,2,76,61000
72,4,2,72,10000
77,3,2,77,62000
67,4,2,62,1000
67,4,3,62,1000
67,3,2,66,2000
75,4,3,71,7000
66,3,1,65,1000
64,4,2,64,2000
70,3,1,70,16000
75,4,3,74,0
76,3,3,75,11000
73,3,2,72,6000
66,3,2,66,2000
62,3,1,64,7000
86,3,2,85,105000
76,4,3,75,5000
77,3,2,76,56000
68,3,2,68,5000
60,3,2,59,1000
80,3,3,79,32000
71,3,2,71,11000
76,3,2,76,34000
74,3,2,73,11000
74,3,2,72,4000
74,3,3,74,5000
76,3,2,76,6000
66,3,2,66,1000
72,3,2,72,16000
73,3,3,73,7000
70,3,3,71,10000
67,3,2,64,2000
74,3,3,74,32000
68,3,2,73,12000
80,3,1,79,74000
66,4,3,66,3000
67,4,2,67,1000
67,3,2,68,5000
70,3,3,71,3000
74,2,2,74,42000
77,4,3,75,52000
78,5,3,79,24000
76,2,1,76,38000
61,2,1,61,3000
73,4,3,74,16000
71,3,2,71,9000
69,3,1,70,9000
70,4,3,70,7000
70,3,2,70,6000
62,2,2,62,4000
62,3,2,62,2000
79,3,2,78,38000
69,3,2,68,9000
64,3,2,65,4000
65,3,3,65,4000
72,2,2,71,7000
70,4,3,69,5000
72,2,1,72,4000
63,3,2,63,4000
63,2,2,65,2000
67,1,3,66,4000
68,3,2,67,20000
66,3,1,66,1000
69,2,3,68,5000
72,4,3,70,6000
69,2,1,68,5000
63,3,3,64,10000
75,2,2,74,1000
63,4,2,65,3000
80,4,3,80,110000
68,2,2,69,7000
57,3,2,56,2000
75,3,3,75,53000
82,4,4,80,10000
72,2,2,72,7000
70,3,2,71,8000
71,3,2,71,8000
72,3,1,72,4000
71,3,2,73,8000
72,4,3,71,36000
75,3,2,78,54000
71,4,3,71,13000
67,3,3,66,5000
71,3,2,71,8000
68,3,2,66,5000
76,3,2,76,68000
75,2,1,76,12000
75,4,2,74,28000
76,4,3,76,11000
66,2,2,65,4000
75,3,2,75,29000
73,3,2,71,3000
66,3,3,69,5000
88,2,2,89,225000
77,3,2,77,30000
69,4,3,69,5000
72,3,3,72,3000
78,3,1,79,59000
76,3,2,76,16000
83,4,5,83,47000
73,3,4,73,15000
71,3,2,71,23000
69,3,2,69,1000
66,2,1,66,3000
69,3,3,68,21000
76,3,2,76,19000
72,3,3,71,40000
60,3,1,60,3000
77,2,3,76,62000
65,3,3,62,4000
62,3,2,62,3000
73,3,2,72,33000
66,3,2,64,3000
65,3,2,64,3000
66,3,2,66,8000
68,3,1,68,9000
58,3,2,60,3000
67,4,2,67,6000
72,3,2,71,23000
64,3,2,64,2000
71,4,3,70,12000
72,3,3,72,7000
69,4,3,67,9000
80,3,1,80,44000
68,2,2,68,6000
85,3,2,85,170000
68,3,1,72,12000
67,2,2,66,2000
74,3,2,72,10000
74,2,2,74,48000
69,3,2,70,6000
69,5,2,69,28000
83,5,3,83,47000
82,3,1,80,40000
81,3,3,81,1000
71,3,1,71,9000
70,4,2,70,10000
75,3,1,75,22000
61,2,2,61,2000
69,4,4,67,5000
61,2,1,61,1000
70,4,3,70,6000
68,3,1,70,5000
73,3,3,72,6000
55,4,3,55,1000
73,4,3,71,7000
74,3,2,72,0
79,3,1,79,18000
64,3,1,64,12000
68,4,3,67,21000
65,3,2,65,1000
70,3,2,69,4000
80,2,1,80,48000
60,3,1,60,1000
77,3,3,77,62000
60,3,2,62,4000
64,3,1,64,6000
73,3,2,69,16000
70,3,2,69,7000
67,3,2,64,3000
68,3,3,68,6000
70,3,3,70,8000
66,4,4,64,1000
63,3,2,60,1000
71,3,3,71,36000
75,3,1,74,9000
73,3,2,68,6000
69,4,3,69,6000
64,3,2,64,4000
71,3,1,71,9000
67,2,2,65,3000
70,4,2,69,6000
67,4,3,66,1000
71,2,2,72,14000
62,2,1,63,1000
73,4,2,72,15000
73,4,3,74,9000
64,3,1,64,5000
71,3,2,71,8000
73,3,3,70,8000
74,4,2,72,8000
69,4,3,71,8000
79,4,4,78,25000
70,3,2,70,7000
79,3,1,78,13000
66,3,3,66,2000
84,3,2,83,155000
71,3,3,72,8000
72,3,2,72,9000
82,3,2,81,27000
75,3,3,74,15000
81,3,3,79,99000
71,3,2,72,14000
73,3,2,74,11000
64,4,3,64,2000
67,2,2,67,6000
71,3,3,73,21000
80,3,1,79,1000
73,3,2,72,10000
73,3,2,73,10000
75,3,3,77,21000
75,2,1,75,22000
67,3,1,67,6000
65,3,2,65,3000
67,3,2,67,7000
68,3,3,68,11000
69,2,3,69,5000
69,3,3,69,8000
66,2,2,66,2000
82,4,4,84,60000
65,3,1,65,2000
67,3,4,67,8000
68,3,3,68,5000
68,3,3,68,8000
72,3,2,72,10000
65,3,1,64,3000
68,4,3,69,11000
75,3,3,74,30000
74,1,1,73,32000
67,3,2,67,5000
80,4,4,80,30000
69,3,2,70,8000
74,3,1,74,8000
66,3,3,66,2000
67,2,3,70,13000
77,2,1,76,32000
75,3,2,72,9000
68,2,2,68,8000
71,3,2,69,5000
72,3,2,71,13000
84,4,4,82,170000
68,2,3,67,10000
76,2,2,73,10000
74,3,4,76,16000
69,4,3,70,13000
70,3,2,70,8000
68,2,1,63,2000
68,4,3,66,3000
74,2,1,74,14000
74,3,3,75,17000
68,3,4,67,11000
73,2,2,73,23000
72,3,3,71,13000
70,3,1,70,5000
72,2,2,70,4000
82,4,4,82,54000
67,3,2,67,3000
70,3,2,70,10000
72,3,2,73,29000
72,3,2,71,8000
74,3,2,73,21000
68,3,2,68,7000
72,3,2,71,6000
70,3,4,72,9000
73,3,3,73,20000
77,3,2,77,16000
75,4,3,74,22000
73,3,3,72,6000
76,3,1,76,26000
67,3,3,66,2000
76,5,3,76,13000
81,3,3,79,67000
68,3,2,68,5000
65,3,1,68,3000
79,3,3,80,34000
79,3,3,79,37000
72,3,3,73,10000
66,3,2,67,6000
84,3,3,84,115000
86,5,4,83,130000
70,2,1,70,12000
77,3,2,77,22000
82,3,1,83,19000
83,3,3,83,62000
70,3,3,77,13000
75,2,1,75,17000
72,4,4,72,8000
82,3,2,81,62000
75,3,2,77,23000
74,3,2,73,10000
68,3,2,68,5000
71,3,1,72,12000
76,4,4,76,13000
65,3,3,67,18000
69,4,3,69,18000
76,2,1,74,20000
65,3,1,65,5000
69,4,3,67,19000
79,3,3,79,74000
78,2,1,78,23000
73,3,3,73,24000
79,3,2,79,50000
70,3,2,69,0
80,3,1,79,42000
79,3,2,79,37000
77,3,2,77,31000
74,3,2,73,26000
77,2,1,76,16000
73,3,1,74,38000
75,3,2,73,47000
75,3,3,76,41000
68,2,2,69,15000
67,3,3,67,6000
66,2,3,61,1000
70,3,1,70,4000
71,2,1,71,6000
71,4,3,69,6000
71,4,2,70,8000
67,4,2,66,6000
71,2,1,73,17000
72,3,2,71,4000
63,3,2,62,1000
79,2,2,79,11000
68,4,2,66,2000
67,2,1,65,1000
68,3,3,67,4000
65,3,2,62,2000
79,4,3,77,17000
77,3,2,77,55000
73,2,3,73,36000
75,3,2,70,3000
75,2,2,75,34000
77,3,2,77,50000
68,1,1,72,7000
68,3,2,68,6000
69,1,1,69,2000
74,4,2,73,14000
69,3,2,69,3000
62,2,2,62,1000
69,3,3,67,6000
59,3,1,59,1000
52,3,1,52,1000
76,2,4,77,31000
73,3,2,72,22000
75,3,2,71,5000
76,2,1,74,13000
71,3,2,71,9000
82,4,2,82,85000
74,2,1,74,12000
70,3,3,70,19000
81,2,3,80,13000
74,3,3,72,18000
67,3,2,65,2000
78,3,2,77,33000
73,3,3,73,24000
75,3,2,75,1000
83,3,1,82,110000
63,3,2,63,2000
67,3,2,65,7000
62,2,2,61,7000
65,3,2,65,3000
58,3,2,58,2000
56,3,1,56,1000
64,4,2,64,3000
64,3,2,64,3000
65,3,3,66,2000
69,4,3,69,3000
60,3,3,60,1000
77,3,3,77,79000
62,3,1,61,2000
69,2,2,68,8000
73,3,3,72,11000
64,5,3,63,2000
61,3,2,61,2000
69,3,3,69,5000
69,2,2,67,8000
69,3,2,68,10000
64,3,2,63,3000
68,2,1,66,4000
75,2,1,75,32000
64,3,2,65,4000
66,1,1,66,4000
65,3,3,65,2000
65,3,2,63,2000
64,3,2,63,2000
59,3,2,59,2000
62,3,2,62,2000
76,2,3,74,48000
72,2,3,71,33000
79,4,2,77,27000
74,3,3,72,23000
65,3,2,63,1000
69,3,2,67,3000
70,3,3,69,4000
69,2,2,68,5000
71,3,1,67,5000
71,3,3,71,29000
60,2,3,60,3000
87,3,2,87,240000
64,3,3,65,3000
71,3,2,71,8000
78,3,3,77,97000
74,3,3,74,12000
68,3,2,68,5000
69,3,3,67,9000
78,3,3,76,83000
70,2,3,70,21000
73,4,2,72,6000
64,4,2,65,2000
78,3,4,75,84000
69,3,2,69,6000
71,4,4,73,11000
76,3,4,76,22000
74,4,3,74,33000
67,4,2,66,3000
65,3,2,62,2000
72,3,2,72,35000
75,3,2,76,17000
78,3,3,78,29000
72,3,3,76,21000
78,3,3,78,45000
67,3,2,65,3000
64,3,2,63,1000
72,4,3,71,6000
75,2,2,73,21000
71,3,3,71,12000
71,3,4,71,12000
72,4,2,71,7000
89,4,4,89,325000
62,3,1,60,1000
69,3,2,69,0
72,2,3,72,19000
74,3,4,74,21000
77,4,4,77,63000
81,3,3,81,84000
79,3,2,78,18000
76,3,1,77,7000
79,4,4,78,28000
68,3,1,67,13000
73,3,2,73,9000
76,3,3,74,52000
68,3,2,68,15000
73,3,1,73,0
73,4,2,73,19000
73,2,2,73,3000
63,2,1,64,1000
62,3,2,61,1000
77,2,3,76,56000
76,3,1,77,24000
62,3,2,63,4000
68,3,2,68,4000
65,3,2,64,2000
64,3,2,61,1000
74,2,1,72,5000
73,3,4,72,36000
68,3,1,66,1000
72,3,2,72,11000
68,3,3,67,8000
69,3,2,69,24000
70,3,1,70,25000
66,3,3,65,13000
68,3,2,68,8000
65,3,3,68,16000
64,3,2,64,3000
68,3,2,65,2000
69,3,2,69,5000
71,2,2,70,7000
69,4,2,69,7000
66,4,3,63,2000
68,3,2,65,4000
65,3,1,65,3000
89,3,3,90,310000
72,3,1,74,16000
75,3,5,75,12000
70,3,1,70,16000
79,3,2,78,10000
79,4,4,78,11000
69,2,3,69,4000
68,3,1,68,4000
77,3,3,75,79000
76,3,3,74,57000
74,4,3,73,38000
73,3,2,72,19000
73,3,2,74,0
66,1,1,66,2000
64,3,2,64,1000
65,3,2,65,1000
68,3,2,68,24000
70,3,2,69,16000
73,3,2,68,8000
71,4,4,71,16000
69,3,1,72,5000
69,3,2,69,9000
68,3,2,67,7000
64,3,2,65,5000
64,3,2,64,4000
74,3,1,72,17000
72,2,3,70,3000
69,2,2,68,5000
71,4,3,70,29000
76,3,1,76,17000
69,3,2,69,12000
71,4,2,71,16000
76,2,3,77,29000
70,3,2,70,14000
71,3,2,71,16000
65,4,3,66,3000
66,2,2,64,4000
62,3,2,60,2000
72,3,2,69,6000
69,3,2,67,4000
69,3,1,69,3000
80,4,3,80,19000
73,4,3,72,9000
67,3,3,66,4000
86,4,5,86,175000
74,3,3,74,19000
70,3,3,71,8000
67,3,2,67,5000
66,3,2,65,3000
65,3,3,65,2000
73,4,3,73,7000
67,2,2,67,5000
64,4,2,64,2000
80,4,2,80,50000
67,3,3,67,21000
71,3,2,69,2000
73,3,2,72,6000
70,3,2,70,6000
67,3,1,67,4000
66,3,2,65,2000
68,3,2,67,5000
63,3,3,62,1000
68,3,4,71,35000
74,4,3,73,12000
69,3,2,69,30000
67,3,3,67,7000
67,3,2,68,15000
75,3,4,75,43000
78,3,2,78,120000
70,4,2,70,4000
74,3,3,75,9000
73,3,2,70,10000
70,4,3,70,15000
75,2,3,75,32000
72,3,2,72,15000
82,3,2,82,73000
69,3,3,68,19000
77,3,3,77,46000
70,2,2,70,32000
72,3,3,71,6000
72,3,2,73,12000
63,3,2,67,11000
73,2,4,71,35000
70,3,3,70,16000
79,3,2,78,53000
78,4,2,75,8000
74,3,2,74,8000
72,4,2,71,29000
74,4,3,74,12000
75,2,2,74,24000
63,1,1,64,7000
68,3,2,68,2000
73,4,1,74,38000
65,3,1,64,2000
79,4,4,80,54000
93,4,4,93,565000
72,3,2,72,9000
69,3,2,69,7000
82,3,1,82,46000
79,3,3,78,45000
76,3,3,76,38000
68,3,2,67,13000
67,3,2,67,17000
65,3,3,66,3000
65,3,2,65,5000
81,3,4,80,38000
68,3,3,68,6000
65,3,2,63,2000
79,4,4,78,68000
75,4,3,75,19000
73,3,2,74,22000
76,3,2,76,29000
68,3,2,67,8000
65,4,2,65,8000
74,3,1,72,5000
76,4,3,76,63000
68,3,1,65,3000
81,4,2,81,39000
79,3,3,77,88000
71,3,1,71,17000
66,3,2,65,2000
70,3,2,70,15000
71,3,3,70,24000
70,3,1,72,19000
66,4,3,67,4000
71,4,2,73,12000
77,4,2,77,27000
75,2,3,75,0
78,4,2,78,29000
67,3,2,65,2000
69,3,2,69,8000
68,3,2,66,8000
76,4,2,75,33000
72,4,2,70,16000
73,3,2,74,1000
82,4,3,83,105000
63,3,1,63,1000
64,3,3,63,2000
72,3,3,72,8000
75,3,2,75,30000
72,3,2,69,7000
64,3,2,68,11000
71,3,3,71,36000
79,3,2,79,77000
82,3,2,83,46000
65,3,2,65,2000
78,4,4,79,37000
76,3,3,75,8000
74,3,2,74,1000
70,3,2,69,10000
82,4,3,79,24000
60,3,2,59,1000
71,2,1,71,11000
73,4,4,72,23000
61,1,1,66,1000
69,2,1,69,2000
66,3,2,66,5000
71,3,1,71,5000
76,4,3,76,26000
74,3,2,74,32000
71,3,3,69,27000
74,3,3,73,12000
74,3,2,74,3000
64,3,2,64,5000
74,3,5,74,17000
73,3,2,74,44000
62,3,3,62,2000
71,2,1,68,4000
71,3,2,71,1000
76,3,2,76,63000
75,3,3,75,21000
78,2,2,79,35000
77,4,4,77,24000
71,4,2,70,10000
64,3,3,64,3000
76,2,2,76,25000
69,3,1,66,2000
83,4,5,81,88000
72,3,1,71,3000
68,3,2,69,12000
71,3,2,70,6000
71,3,2,71,35000
78,3,2,78,24000
66,3,1,65,4000
77,3,3,76,34000
67,4,2,67,4000
77,4,2,77,28000
68,2,1,69,3000
71,4,3,71,8000
72,3,3,71,15000
69,3,1,70,4000
77,3,2,76,38000
68,3,2,68,8000
83,4,4,83,80000
68,4,2,67,12000
73,3,2,72,8000
74,3,1,73,7000
68,3,2,71,14000
72,2,1,72,19000
67,3,3,68,23000
64,2,2,62,2000
75,3,2,75,19000
66,4,3,62,4000
65,3,3,65,1000
71,3,2,70,33000
70,4,2,70,6000
69,3,1,69,7000
68,4,3,68,9000
82,2,4,83,115000
66,2,1,66,2000
74,2,1,74,38000
71,3,3,70,10000
71,2,2,70,6000
73,4,1,73,9000
78,2,3,80,23000
82,4,3,82,48000
80,4,3,80,41000
70,4,2,67,7000
67,4,2,67,3000
68,1,2,69,7000
71,3,2,71,7000
71,4,3,71,8000
78,3,2,76,17000
68,3,2,69,11000
73,2,1,71,11000
75,3,3,75,33000
67,5,2,67,8000
66,4,2,66,3000
87,2,1,87,91000
68,2,2,69,13000
74,3,2,71,23000
70,4,2,72,6000
72,2,2,71,36000
76,3,2,73,17000
86,3,3,86,210000
63,3,2,65,2000
67,3,2,68,7000
67,3,1,67,6000
62,3,2,60,2000
71,3,3,70,11000
73,3,3,74,18000
69,3,3,69,13000
75,3,2,75,19000
66,3,1,66,2000
69,3,2,69,5000
68,3,2,68,19000
76,3,3,76,68000
69,3,2,69,16000
67,3,2,65,7000
69,3,3,70,32000
70,3,1,71,6000
76,2,2,75,25000
64,2,1,63,2000
65,3,2,65,5000
80,3,1,80,60000
74,3,2,73,47000
63,2,2,63,4000
59,3,2,59,2000
77,3,3,78,1000
73,2,3,72,7000
68,3,1,68,15000
68,3,2,68,5000
75,3,3,72,25000
62,3,2,62,2000
73,3,2,72,32000
79,3,1,81,51000
71,3,3,72,7000
76,4,1,76,19000
77,4,3,74,32000
69,3,2,68,9000
67,4,3,67,7000
67,3,2,67,8000
62,2,2,61,3000
73,3,3,73,16000
71,4,3,68,9000
71,3,3,71,9000
70,3,2,68,3000
77,3,2,76,34000
77,3,2,75,44000
72,4,3,73,17000
68,3,3,68,8000
82,3,1,82,52000
79,2,2,78,18000
69,3,3,69,9000
74,3,2,73,8000
69,3,2,69,8000
72,4,3,70,25000
58,3,2,58,2000
63,3,2,64,9000
62,3,2,61,1000
65,3,2,65,2000
83,3,1,84,65000
73,3,1,72,25000
66,2,1,64,2000
72,4,3,73,50000
64,3,1,64,7000
71,3,2,70,12000
83,3,3,82,115000
75,3,2,74,23000
73,2,2,72,5000
76,3,4,75,25000
84,3,1,82,31000
72,3,3,71,6000
63,4,3,62,3000
64,3,2,64,5000
66,3,2,73,3000
77,3,2,77,55000
65,3,2,66,2000
65,3,2,65,3000
59,2,2,62,2000
65,3,2,64,4000
75,3,1,74,7000
67,4,3,69,14000
76,4,3,74,23000
77,3,1,77,20000
73,3,1,71,12000
83,4,2,82,115000
69,3,2,69,23000
66,2,2,63,1000
63,3,2,63,2000
66,3,3,66,7000
69,3,2,68,8000
76,3,1,75,64000
65,3,2,65,1000
68,3,2,67,5000
63,4,2,62,2000
77,3,3,77,26000
73,3,2,73,50000
78,5,3,78,47000
85,3,3,85,81000
89,3,3,88,175000
65,2,3,64,3000
65,2,2,65,1000
75,3,2,74,13000
74,2,2,72,19000
75,4,3,75,10000
66,3,2,66,4000
68,4,3,67,19000
83,3,2,84,160000
69,3,3,69,23000
71,3,3,71,6000
71,3,1,71,4000
75,3,2,74,22000
74,2,1,73,7000
71,4,2,72,6000
65,2,2,64,2000
72,3,2,71,7000
66,4,2,64,3000
70,4,3,70,7000
68,3,3,63,2000
66,2,2,66,2000
66,3,2,66,2000
70,3,2,70,5000
73,3,2,72,13000
65,3,2,65,4000
72,3,2,71,33000
72,3,2,72,40000
65,3,2,66,2000
80,2,1,80,60000
75,4,3,74,23000
73,2,1,73,41000
64,3,2,64,5000
71,2,2,70,20000
72,3,3,73,10000
73,2,2,74,25000
81,3,3,80,125000
76,4,4,75,24000
73,2,2,71,4000
77,4,3,77,67000
72,4,3,68,8000
78,4,3,76,60000
68,3,2,67,6000
66,2,2,66,3000
79,3,2,79,54000
86,4,4,86,295000
68,3,2,66,2000
77,4,2,76,35000
70,3,2,70,9000
66,3,2,64,2000
74,2,3,74,47000
73,2,3,72,27000
70,2,2,69,16000
64,3,3,66,1000
85,3,2,84,150000
74,3,2,73,14000
83,5,4,82,29000
70,3,2,71,5000
77,5,1,77,1000
67,3,2,67,4000
63,3,2,64,3000
72,5,3,75,44000
63,3,2,64,2000
62,3,2,61,1000
66,3,2,67,7000
76,3,2,76,16000
69,3,1,69,9000
68,3,3,70,12000
68,3,2,67,6000
79,3,2,79,22000
65,2,1,65,2000
67,3,2,68,8000
66,2,3,66,5000
77,4,2,78,25000
80,3,2,80,96000
77,3,3,76,65000
80,3,2,80,29000
78,4,3,78,23000
72,3,3,71,8000
69,3,1,70,3000
67,4,4,63,3000
68,4,3,68,6000
70,3,3,70,4000
76,2,1,77,9000
69,3,2,69,19000
64,3,2,64,4000
66,2,2,65,3000
74,2,1,75,5000
71,3,3,71,2000
73,3,3,74,14000
74,4,2,74,62000
67,4,2,65,2000
68,5,2,67,4000
68,3,2,62,2000
75,4,2,64,2000
71,3,3,68,6000
70,4,2,70,9000
68,3,2,67,4000
61,4,2,57,1000
79,3,2,79,34000
77,4,3,74,20000
74,4,3,73,13000
74,3,2,74,45000
68,2,1,68,8000
64,2,2,64,3000
64,2,1,63,2000
61,3,3,72,2000
72,2,2,71,15000
81,2,2,81,73000
76,4,4,76,45000
75,4,2,74,27000
62,2,1,62,1000
63,3,2,63,1000
76,3,1,77,45000
72,2,3,73,35000
64,2,1,64,2000
72,4,4,73,56000
66,3,2,66,4000
71,4,2,71,8000
63,3,3,63,2000
65,3,2,66,3000
65,3,2,65,4000
64,2,2,66,11000
74,4,2,73,11000
69,2,2,67,16000
74,3,1,75,30000
75,3,3,72,23000
66,4,2,67,15000
71,4,3,71,34000
61,2,2,61,1000
71,3,2,71,4000
68,3,3,67,4000
67,4,4,67,9000
82,4,3,84,68000
82,4,3,82,72000
72,2,1,73,16000
69,4,2,69,1000
69,4,2,69,12000
92,4,1,92,230000
66,3,2,65,4000
63,3,2,64,2000
80,3,2,80,54000
75,3,4,74,11000
71,3,2,71,33000
68,2,2,68,6000
72,2,2,72,37000
68,4,3,68,6000
70,3,2,69,17000
64,2,1,66,5000
76,3,3,75,35000
