Rating,Weak_foot,Skill_Moves,Potential,ValueUnified
71,3,2,70,725000
79,3,3,78,9500000
78,4,3,76,6000000
80,5,2,80,10000000
71,2,2,70,975000
67,2,2,67,500000
67,2,1,67,50000
76,2,2,74,4200000
73,2,1,71,950000
70,2,1,67,180000
76,2,3,75,5500000
69,3,2,68,475000
70,3,3,70,1600000
72,3,2,71,1400000
68,2,1,68,550000
72,4,2,73,2700000
70,4,2,70,1000000
71,3,1,73,2300000
75,3,3,75,3900000
80,4,3,80,4500000
67,4,2,67,300000
77,3,3,78,9500000
66,3,3,66,575000
74,3,3,76,4400000
67,3,2,66,375000
72,4,3,71,1200000
71,3,2,71,1400000
70,3,1,70,900000
63,4,3,63,325000
63,3,3,63,180000
72,3,3,72,2700000
70,3,2,64,180000
71,3,2,72,950000
78,2,1,79,1700000
82,4,3,82,12500000
67,3,1,68,525000
76,3,2,76,5000000
74,4,2,76,4400000
72,4,2,72,2100000
77,3,2,77,3600000
67,4,2,62,120000
67,4,3,62,100000
67,3,2,66,150000
75,4,3,71,850000
66,3,1,65,40000
64,4,2,64,180000
70,3,1,70,120000
75,4,3,74,0
76,3,3,75,2700000
73,3,2,72,1300000
66,3,2,66,150000
62,3,1,64,270000
86,3,2,85,5000000
76,4,3,75,2200000
77,3,2,76,4800000
68,3,2,68,425000
60,3,2,59,10000
80,3,3,79,5000000
71,3,2,71,1800000
76,3,2,76,6000000
74,3,2,73,450000
74,3,2,72,1200000
74,3,3,74,2700000
76,3,2,76,2300000
66,3,2,66,475000
72,3,2,72,1800000
73,3,3,73,2400000
70,3,3,71,2000000
67,3,2,64,140000
74,3,3,74,3500000
68,3,2,73,2300000
80,3,1,79,6500000
66,4,3,66,325000
67,4,2,67,230000
67,3,2,68,500000
70,3,3,71,1000000
74,2,2,74,1700000
77,4,3,75,3700000
78,5,3,79,8000000
76,2,1,76,525000
61,2,1,61,130000
73,4,3,74,4400000
71,3,2,71,1400000
69,3,1,70,1200000
70,4,3,70,1400000
70,3,2,70,1000000
62,2,2,62,120000
62,3,2,62,150000
79,3,2,78,2400000
69,3,2,68,375000
64,3,2,65,300000
65,3,3,65,270000
72,2,2,71,950000
70,4,3,69,825000
72,2,1,72,1300000
63,3,2,63,210000
63,2,2,65,350000
67,1,3,66,325000
68,3,2,67,160000
66,3,1,66,90000
69,2,3,68,700000
72,4,3,70,1100000
69,2,1,68,375000
63,3,3,64,350000
75,2,2,74,3000000
63,4,2,65,220000
80,4,3,80,9500000
68,2,2,69,425000
57,3,2,56,30000
75,3,3,75,4200000
82,4,4,80,6500000
72,2,2,72,2300000
70,3,2,71,325000
71,3,2,71,725000
72,3,1,72,210000
71,3,2,73,1600000
72,4,3,71,2200000
75,3,2,78,9000000
71,4,3,71,1300000
67,3,3,66,575000
71,3,2,71,1700000
68,3,2,66,325000
76,3,2,76,4500000
75,2,1,76,1800000
75,4,2,74,3500000
76,4,3,76,2600000
66,2,2,65,210000
75,3,2,75,5000000
73,3,2,71,725000
66,3,3,69,525000
88,2,2,89,38000000
77,3,2,77,1200000
69,4,3,69,230000
72,3,3,72,1000000
78,3,1,79,3000000
76,3,2,76,1800000
83,4,5,83,24500000
73,3,4,73,1300000
71,3,2,71,325000
69,3,2,69,325000
66,2,1,66,375000
69,3,3,68,700000
76,3,2,76,2300000
72,3,3,71,1900000
60,3,1,60,80000
77,2,3,76,5000000
65,3,3,62,160000
62,3,2,62,90000
73,3,2,72,1300000
66,3,2,64,220000
65,3,2,64,110000
66,3,2,66,375000
68,3,1,68,525000
58,3,2,60,120000
67,4,2,67,375000
72,3,2,71,1300000
64,3,2,64,180000
71,4,3,70,1600000
72,3,3,72,1400000
69,4,3,67,600000
80,3,1,80,6000000
68,2,2,68,270000
85,3,2,85,26000000
68,3,1,72,2000000
67,2,2,66,180000
74,3,2,72,1800000
74,2,2,74,2200000
69,3,2,70,550000
69,5,2,69,425000
83,5,3,83,15500000
82,3,1,80,6000000
81,3,3,81,3800000
71,3,1,71,160000
70,4,2,70,240000
75,3,1,75,1600000
61,2,2,61,30000
69,4,4,67,260000
61,2,1,61,30000
70,4,3,70,240000
68,3,1,70,120000
73,3,3,72,425000
55,4,3,55,30000
73,4,3,71,1100000
74,3,2,72,0
79,3,1,79,7500000
64,3,1,64,180000
68,4,3,67,325000
65,3,2,65,40000
70,3,2,69,250000
80,2,1,80,7500000
60,3,1,60,100000
77,3,3,77,2700000
60,3,2,62,200000
64,3,1,64,180000
73,3,2,69,700000
70,3,2,69,600000
67,3,2,64,180000
68,3,3,68,475000
70,3,3,70,1600000
66,4,4,64,270000
63,3,2,60,170000
71,3,3,71,1800000
75,3,1,74,3200000
73,3,2,68,400000
69,4,3,69,350000
64,3,2,64,300000
71,3,1,71,1400000
67,2,2,65,220000
70,4,2,69,230000
67,4,3,66,270000
71,2,2,72,1800000
62,2,1,63,50000
73,4,2,72,2300000
73,4,3,74,3200000
64,3,1,64,60000
71,3,2,71,550000
73,3,3,70,240000
74,4,2,72,425000
69,4,3,71,800000
79,4,4,78,5500000
70,3,2,70,375000
79,3,1,78,5000000
66,3,3,66,200000
84,3,2,83,10500000
71,3,3,72,1400000
72,3,2,72,1800000
82,3,2,81,7000000
75,3,3,74,1900000
81,3,3,79,7000000
71,3,2,72,950000
73,3,2,74,650000
64,4,3,64,140000
67,2,2,67,90000
71,3,3,73,2300000
80,3,1,79,6500000
73,3,2,72,1400000
73,3,2,73,550000
75,3,3,77,4300000
75,2,1,75,3800000
67,3,1,67,180000
65,3,2,65,120000
67,3,2,67,160000
68,3,3,68,575000
69,2,3,69,230000
69,3,3,69,550000
66,2,2,66,90000
82,4,4,84,31000000
65,3,1,65,40000
67,3,4,67,450000
68,3,3,68,375000
68,3,3,68,400000
72,3,2,72,1400000
65,3,1,64,30000
68,4,3,69,1000000
75,3,3,74,1900000
74,1,1,73,2000000
67,3,2,67,180000
80,4,4,80,9000000
69,3,2,70,240000
74,3,1,74,1300000
66,3,3,66,220000
67,2,3,70,1600000
77,2,1,76,1800000
75,3,2,72,425000
68,2,2,68,500000
71,3,2,69,120000
72,3,2,71,1800000
84,4,4,82,20500000
68,2,3,67,550000
76,2,2,73,950000
74,3,4,76,7000000
69,4,3,70,1500000
70,3,2,70,675000
68,2,1,63,190000
68,4,3,66,400000
74,2,1,74,3200000
74,3,3,75,5500000
68,3,4,67,725000
73,2,2,73,1200000
72,3,3,71,2500000
70,3,1,70,120000
72,2,2,70,1600000
82,4,4,82,17500000
67,3,2,67,575000
70,3,2,70,240000
72,3,2,73,450000
72,3,2,71,725000
74,3,2,73,2600000
68,3,2,68,525000
72,3,2,71,725000
70,3,4,72,2000000
73,3,3,73,2000000
77,3,2,77,2100000
75,4,3,74,4300000
73,3,3,72,1300000
76,3,1,76,4900000
67,3,3,66,350000
76,5,3,76,4700000
81,3,3,79,11500000
68,3,2,68,350000
65,3,1,68,60000
79,3,3,80,6000000
79,3,3,79,7500000
72,3,3,73,3100000
66,3,2,67,500000
84,3,3,84,9000000
86,5,4,83,19500000
70,2,1,70,900000
77,3,2,77,5000000
82,3,1,83,6000000
83,3,3,83,14500000
70,3,3,77,3500000
75,2,1,75,3400000
72,4,4,72,2000000
82,3,2,81,10500000
75,3,2,77,2700000
74,3,2,73,2300000
68,3,2,68,350000
71,3,1,72,1600000
76,4,4,76,3900000
65,3,3,67,600000
69,4,3,69,575000
76,2,1,74,2800000
65,3,1,65,300000
69,4,3,67,600000
79,3,3,79,10000000
78,2,1,78,1400000
73,3,3,73,2400000
79,3,2,79,5000000
70,3,2,69,0
80,3,1,79,7500000
79,3,2,79,3000000
77,3,2,77,2100000
74,3,2,73,450000
77,2,1,76,3100000
73,3,1,74,2800000
75,3,2,73,1100000
75,3,3,76,3000000
68,2,2,69,425000
67,3,3,67,375000
66,2,3,61,110000
70,3,1,70,120000
71,2,1,71,1200000
71,4,3,69,825000
71,4,2,70,375000
67,4,2,66,250000
71,2,1,73,950000
72,3,2,71,900000
63,3,2,62,140000
79,2,2,79,1700000
68,4,2,66,425000
67,2,1,65,300000
68,3,3,67,450000
65,3,2,62,120000
79,4,3,77,5500000
77,3,2,77,3400000
73,2,3,73,1500000
75,3,2,70,240000
75,2,2,75,1400000
77,3,2,77,5000000
68,1,1,72,1300000
68,3,2,68,525000
69,1,1,69,425000
74,4,2,73,1400000
69,3,2,69,500000
62,2,2,62,70000
69,3,3,67,475000
59,3,1,59,40000
52,3,1,52,0
76,2,4,77,3900000
73,3,2,72,1600000
75,3,2,71,1400000
76,2,1,74,375000
71,3,2,71,950000
82,4,2,82,20000000
74,2,1,74,3200000
70,3,3,70,1100000
81,2,3,80,12000000
74,3,3,72,1200000
67,3,2,65,150000
78,3,2,77,3400000
73,3,3,73,3200000
75,3,2,75,2700000
83,3,1,82,14000000
63,3,2,63,130000
67,3,2,65,220000
62,2,2,61,160000
65,3,2,65,300000
58,3,2,58,120000
56,3,1,56,10000
64,4,2,64,50000
64,3,2,64,60000
65,3,3,66,220000
69,4,3,69,300000
60,3,3,60,70000
77,3,3,77,6500000
62,3,1,61,20000
69,2,2,68,270000
73,3,3,72,2000000
64,5,3,63,200000
61,3,2,61,100000
69,3,3,69,925000
69,2,2,67,425000
69,3,2,68,600000
64,3,2,63,130000
68,2,1,66,90000
75,2,1,75,3400000
64,3,2,65,400000
66,1,1,66,375000
65,3,3,65,475000
65,3,2,63,190000
64,3,2,63,250000
59,3,2,59,90000
62,3,2,62,220000
76,2,3,74,4800000
72,2,3,71,1800000
79,4,2,77,6000000
74,3,3,72,2100000
65,3,2,63,200000
69,3,2,67,350000
70,3,3,69,800000
69,2,2,68,600000
71,3,1,67,50000
71,3,3,71,1300000
60,2,3,60,100000
87,3,2,87,37500000
64,3,3,65,130000
71,3,2,71,950000
78,3,3,77,8500000
74,3,3,74,4500000
68,3,2,68,375000
69,3,3,67,375000
78,3,3,76,5500000
70,2,3,70,1600000
73,4,2,72,1800000
64,4,2,65,120000
78,3,4,75,4400000
69,3,2,69,325000
71,4,4,73,1300000
76,3,4,76,4700000
74,4,3,74,4300000
67,4,2,66,250000
65,3,2,62,200000
72,3,2,72,1800000
75,3,2,76,3100000
78,3,3,78,7500000
72,3,3,76,4800000
78,3,3,78,4800000
67,3,2,65,210000
64,3,2,63,290000
72,4,3,71,2500000
75,2,2,73,2300000
71,3,3,71,1800000
71,3,4,71,1400000
72,4,2,71,270000
89,4,4,89,66500000
62,3,1,60,50000
69,3,2,69,0
72,2,3,72,2300000
74,3,4,74,4900000
77,4,4,77,8500000
81,3,3,81,16000000
79,3,2,78,700000
76,3,1,77,5500000
79,4,4,78,10000000
68,3,1,67,450000
73,3,2,73,3000000
76,3,3,74,1600000
68,3,2,68,525000
73,3,1,73,0
73,4,2,73,1800000
73,2,2,73,875000
63,2,1,64,60000
62,3,2,61,100000
77,2,3,76,3000000
76,3,1,77,5500000
62,3,2,63,230000
68,3,2,68,280000
65,3,2,64,300000
64,3,2,61,30000
74,2,1,72,1300000
73,3,4,72,3100000
68,3,1,66,90000
72,3,2,72,2500000
68,3,3,67,575000
69,3,2,69,825000
70,3,1,70,1100000
66,3,3,65,425000
68,3,2,68,525000
65,3,3,68,700000
64,3,2,64,130000
68,3,2,65,210000
69,3,2,69,600000
71,2,2,70,725000
69,4,2,69,700000
66,4,3,63,325000
68,3,2,65,475000
65,3,1,65,130000
89,3,3,90,52000000
72,3,1,74,3800000
75,3,5,75,6000000
70,3,1,70,1200000
79,3,2,78,8000000
79,4,4,78,5000000
69,2,3,69,825000
68,3,1,68,210000
77,3,3,75,6500000
76,3,3,74,4800000
74,4,3,73,3900000
73,3,2,72,2700000
73,3,2,74,0
66,1,1,66,375000
64,3,2,64,300000
65,3,2,65,220000
68,3,2,68,650000
70,3,2,69,775000
73,3,2,68,350000
71,4,4,71,1200000
69,3,1,72,2100000
69,3,2,69,425000
68,3,2,67,230000
64,3,2,65,300000
64,3,2,64,210000
74,3,1,72,210000
72,2,3,70,600000
69,2,2,68,100000
71,4,3,70,600000
76,3,1,76,1000000
69,3,2,69,425000
71,4,2,71,1400000
76,2,3,77,5500000
70,3,2,70,425000
71,3,2,71,1400000
65,4,3,66,500000
66,2,2,64,300000
62,3,2,60,130000
72,3,2,69,450000
69,3,2,67,50000
69,3,1,69,70000
80,4,3,80,14000000
73,4,3,72,1000000
67,3,3,66,600000
86,4,5,86,22500000
74,3,3,74,4900000
70,3,3,71,675000
67,3,2,67,100000
66,3,2,65,400000
65,3,3,65,250000
73,4,3,73,2300000
67,2,2,67,475000
64,4,2,64,350000
80,4,2,80,8500000
67,3,3,67,575000
71,3,2,69,325000
73,3,2,72,1800000
70,3,2,70,1000000
67,3,1,67,300000
66,3,2,65,60000
68,3,2,67,290000
63,3,3,62,230000
68,3,4,71,2200000
74,4,3,73,2100000
69,3,2,69,400000
67,3,3,67,450000
67,3,2,68,475000
75,3,4,75,6500000
78,3,2,78,7000000
70,4,2,70,1000000
74,3,3,75,6000000
73,3,2,70,675000
70,4,3,70,600000
75,2,3,75,5000000
72,3,2,72,1200000
82,3,2,82,15000000
69,3,3,68,775000
77,3,3,77,7000000
70,2,2,70,1200000
72,3,3,71,2200000
72,3,2,73,2200000
63,3,2,67,220000
73,2,4,71,1800000
70,3,3,70,1200000
79,3,2,78,7500000
78,4,2,75,4500000
74,3,2,74,750000
72,4,2,71,1600000
74,4,3,74,5000000
75,2,2,74,3800000
63,1,1,64,290000
68,3,2,68,270000
73,4,1,74,3400000
65,3,1,64,270000
79,4,4,80,13000000
93,4,4,93,105000000
72,3,2,72,1200000
69,3,2,69,425000
82,3,1,82,15000000
79,3,3,78,8000000
76,3,3,76,7500000
68,3,2,67,575000
67,3,2,67,500000
65,3,3,66,300000
65,3,2,65,400000
81,3,4,80,13000000
68,3,3,68,550000
65,3,2,63,270000
79,4,4,78,9000000
75,4,3,75,4900000
73,3,2,74,4100000
76,3,2,76,5500000
68,3,2,67,290000
65,4,2,65,475000
74,3,1,72,210000
76,4,3,76,4800000
68,3,1,65,220000
81,4,2,81,7000000
79,3,3,77,6000000
71,3,1,71,1400000
66,3,2,65,350000
70,3,2,70,1300000
71,3,3,70,1500000
70,3,1,72,1900000
66,4,3,67,550000
71,4,2,73,3000000
77,4,2,77,3600000
75,2,3,75,0
78,4,2,78,9000000
67,3,2,65,375000
69,3,2,69,800000
68,3,2,66,425000
76,4,2,75,4900000
72,4,2,70,1400000
73,3,2,74,3700000
82,4,3,83,17500000
63,3,1,63,50000
64,3,3,63,140000
72,3,3,72,2900000
75,3,2,75,3800000
72,3,2,69,700000
64,3,2,68,525000
71,3,3,71,2200000
79,3,2,79,11500000
82,3,2,83,17500000
65,3,2,65,220000
78,4,4,79,11000000
76,3,3,75,900000
74,3,2,74,2300000
70,3,2,69,575000
82,4,3,79,6500000
60,3,2,59,90000
71,2,1,71,325000
73,4,4,72,1900000
61,1,1,66,400000
69,2,1,69,70000
66,3,2,66,90000
71,3,1,71,160000
76,4,3,76,6500000
74,3,2,74,1300000
71,3,3,69,650000
74,3,3,73,3900000
74,3,2,74,750000
64,3,2,64,300000
74,3,5,74,4900000
73,3,2,74,3800000
62,3,3,62,280000
71,2,1,68,120000
71,3,2,71,1400000
76,3,2,76,4300000
75,3,3,75,775000
78,2,2,79,9500000
77,4,4,77,8500000
71,4,2,70,550000
64,3,3,64,60000
76,2,2,76,5000000
69,3,1,66,425000
83,4,5,81,17000000
72,3,1,71,950000
68,3,2,69,775000
71,3,2,70,500000
71,3,2,71,1400000
78,3,2,78,7500000
66,3,1,65,325000
77,3,3,76,7500000
67,4,2,67,160000
77,4,2,77,5000000
68,2,1,69,70000
71,4,3,71,1900000
72,3,3,71,1700000
69,3,1,70,1000000
77,3,2,76,6000000
68,3,2,68,525000
83,4,4,83,20000000
68,4,2,67,220000
73,3,2,72,1800000
74,3,1,73,2300000
68,3,2,71,1600000
72,2,1,72,1800000
67,3,3,68,575000
64,2,2,62,170000
75,3,2,75,3800000
66,4,3,62,120000
65,3,3,65,350000
71,3,2,70,875000
70,4,2,70,1600000
69,3,1,69,750000
68,4,3,68,700000
82,2,4,83,25000000
66,2,1,66,260000
74,2,1,74,3400000
71,3,3,70,1300000
71,2,2,70,1000000
73,4,1,73,2000000
78,2,3,80,11000000
82,4,3,82,20500000
80,4,3,80,12000000
70,4,2,67,450000
67,4,2,67,575000
68,1,2,69,700000
71,3,2,71,1100000
71,4,3,71,2100000
78,3,2,76,2300000
68,3,2,69,775000
73,2,1,71,550000
75,3,3,75,6500000
67,5,2,67,500000
66,4,2,66,350000
87,2,1,87,29000000
68,2,2,69,750000
74,3,2,71,1600000
70,4,2,72,2100000
72,2,2,71,1800000
76,3,2,73,3000000
86,3,3,86,41000000
63,3,2,65,300000
67,3,2,68,600000
67,3,1,67,450000
62,3,2,60,80000
71,3,3,70,1300000
73,3,3,74,4400000
69,3,3,69,900000
75,3,2,75,2000000
66,3,1,66,40000
69,3,2,69,600000
68,3,2,68,650000
76,3,3,76,7000000
69,3,2,69,700000
67,3,2,65,525000
69,3,3,70,1600000
70,3,1,71,1400000
76,2,2,75,4500000
64,2,1,63,220000
65,3,2,65,220000
80,3,1,80,6000000
74,3,2,73,3000000
63,2,2,63,270000
59,3,2,59,90000
77,3,3,78,4200000
73,2,3,72,3000000
68,3,1,68,525000
68,3,2,68,675000
75,3,3,72,2900000
62,3,2,62,200000
73,3,2,72,1700000
79,3,1,81,11000000
71,3,3,72,2400000
76,4,1,76,4700000
77,4,3,74,2300000
69,3,2,68,800000
67,4,3,67,725000
67,3,2,67,400000
62,2,2,61,100000
73,3,3,73,3000000
71,4,3,68,850000
71,3,3,71,2400000
70,3,2,68,525000
77,3,2,76,3100000
77,3,2,75,4500000
72,4,3,73,2400000
68,3,3,68,775000
82,3,1,82,14000000
79,2,2,78,6000000
69,3,3,69,650000
74,3,2,73,2300000
69,3,2,69,625000
72,4,3,70,1600000
58,3,2,58,120000
63,3,2,64,250000
62,3,2,61,100000
65,3,2,65,130000
83,3,1,84,19000000
73,3,1,72,2000000
66,2,1,64,270000
72,4,3,73,3900000
64,3,1,64,290000
71,3,2,70,1200000
83,3,3,82,12500000
75,3,2,74,3200000
73,2,2,72,1700000
76,3,4,75,3900000
84,3,1,82,12500000
72,3,3,71,1900000
63,4,3,62,240000
64,3,2,64,260000
66,3,2,73,775000
77,3,2,77,5000000
65,3,2,66,475000
65,3,2,65,375000
59,2,2,62,150000
65,3,2,64,425000
75,3,1,74,3400000
67,4,3,69,650000
76,4,3,74,2700000
77,3,1,77,5500000
73,3,1,71,1200000
83,4,2,82,12500000
69,3,2,69,1000000
66,2,2,63,80000
63,3,2,63,270000
66,3,3,66,575000
69,3,2,68,525000
76,3,1,75,2700000
65,3,2,65,400000
68,3,2,67,525000
63,4,2,62,120000
77,3,3,77,5500000
73,3,2,73,1200000
78,5,3,78,5500000
85,3,3,85,25000000
89,3,3,88,34000000
65,2,3,64,350000
65,2,2,65,375000
75,3,2,74,4300000
74,2,2,72,2300000
75,4,3,75,5500000
66,3,2,66,425000
68,4,3,67,675000
83,3,2,84,21000000
69,3,3,69,1000000
71,3,3,71,1400000
71,3,1,71,1500000
75,3,2,74,4100000
74,2,1,73,2300000
71,4,2,72,1300000
65,2,2,64,210000
72,3,2,71,1200000
66,4,2,64,350000
70,4,3,70,1600000
68,3,3,63,190000
66,2,2,66,475000
66,3,2,66,260000
70,3,2,70,550000
73,3,2,72,1800000
65,3,2,65,475000
72,3,2,71,1800000
72,3,2,72,3000000
65,3,2,66,425000
80,2,1,80,8500000
75,4,3,74,5500000
73,2,1,73,2300000
64,3,2,64,300000
71,2,2,70,1400000
72,3,3,73,2100000
73,2,2,74,4200000
81,3,3,80,15000000
76,4,4,75,6000000
73,2,2,71,1300000
77,4,3,77,4500000
72,4,3,68,450000
78,4,3,76,7000000
68,3,2,67,450000
66,2,2,66,475000
79,3,2,79,9000000
86,4,4,86,44500000
68,3,2,66,200000
77,4,2,76,5000000
70,3,2,70,1400000
66,3,2,64,400000
74,2,3,74,4200000
73,2,3,72,3000000
70,2,2,69,850000
64,3,3,66,625000
85,3,2,84,21000000
74,3,2,73,2600000
83,5,4,82,21000000
70,3,2,71,1800000
77,5,1,77,5500000
67,3,2,67,180000
63,3,2,64,350000
72,5,3,75,4400000
63,3,2,64,325000
62,3,2,61,140000
66,3,2,67,575000
76,3,2,76,3700000
69,3,1,69,600000
68,3,3,70,925000
68,3,2,67,425000
79,3,2,79,5000000
65,2,1,65,350000
67,3,2,68,525000
66,2,3,66,650000
77,4,2,78,7000000
80,3,2,80,10000000
77,3,3,76,7500000
80,3,2,80,10000000
78,4,3,78,10000000
72,3,3,71,1600000
69,3,1,70,825000
67,4,4,63,375000
68,4,3,68,850000
70,3,3,70,425000
76,2,1,77,2100000
69,3,2,69,775000
64,3,2,64,425000
66,2,2,65,400000
74,2,1,75,900000
71,3,3,71,2200000
73,3,3,74,3300000
74,4,2,74,5500000
67,4,2,65,325000
68,5,2,67,300000
68,3,2,62,120000
75,4,2,64,110000
71,3,3,68,800000
70,4,2,70,1600000
68,3,2,67,290000
