Name,ValueUnified
Saúl,32000000.00
Willian,31500000.00
Ivan Perišic,31500000.00
Shkodran Mustafi,31500000.00
Kostas Manolas,31500000.00
Emil Forsberg,31500000.00
Alejandro Gómez,31000000.00
Timo Horn,31000000.00
Deulofeu,31000000.00
Gabriel Jesus,31000000.00
Juan Mata,30500000.00
Jordi Alba,30500000.00
Pedro,30500000.00
Riyad Mahrez,30500000.00
Marquinhos,30500000.00
Timo Werner,30500000.00
Niklas Süle,30500000.00
Federico Bernardeschi,30500000.00
Corentin Tolisso,30500000.00
Kamil Glik,30000000.00
Mateo Kovacic,30000000.00
Leon Goretzka,30000000.00
André Gomes,30000000.00
Iniesta,29500000.00
Dimitri Payet,29500000.00
Suso,29500000.00
Raheem Sterling,29500000.00
Samuel Umtiti,29500000.00
Fabinho,29500000.00
Samir Handanovic,29000000.00
Sami Khedira,29000000.00
Willian José,29000000.00
Stefan de Vrij,29000000.00
Blaise Matuidi,28500000.00
Jan Vertonghen,28500000.00
José María Giménez,28500000.00
Gianluigi Donnarumma,28500000.00
Falcao,28000000.00
Edin Džeko,28000000.00
Xherdan Shaqiri,28000000.00
Heung Min Son,28000000.00
Lucas,28000000.00
Florian Thauvin,28000000.00
Quincy Promes,28000000.00
Nabil Fekir,28000000.00
Granit Xhaka,27500000.00
Danilo Pereira,27500000.00
Virgil van Dijk,27500000.00
Davy Klaassen,27500000.00
Manu Trigueros,27500000.00
William Carvalho,27500000.00
Zlatan Ibrahimovic,27000000.00
Georginio Wijnaldum,27000000.00
Mateo Musacchio,27000000.00
Bas Dost,27000000.00
Vitolo,27000000.00
Giacomo Bonaventura,26500000.00
Joel Matip,26500000.00
Vincent Kompany,26000000.00
Roman Bürki,26000000.00
Shinji Kagawa,26000000.00
Ciro Immobile,26000000.00
Iago Aspas,26000000.00
Lucas Vázquez,26000000.00
Ederson,26000000.00
Jonathan Tah,26000000.00
Jean Michaël Seri,26000000.00
Tiémoué Bakayoko,26000000.00
Miranda,25500000.00
Morgan Schneiderlin,25500000.00
Éver Banega,25500000.00
Nicolás Gaitán,25500000.00
Aaron Ramsey,25500000.00
Parejo,25500000.00
Javier Pastore,25500000.00
Gerónimo Rulli,25500000.00
Moussa Dembélé,25000000.00
Filipe Luís,25000000.00
Kévin Gameiro,25000000.00
Sergio Asenjo,25000000.00
Ralf Fährmann,25000000.00
Adam Lallana,25000000.00
Sebastian Giovinco,25000000.00
Mattia Perin,25000000.00
Eric Dier,25000000.00
Gelson Martins,25000000.00
Nani,24500000.00
Stéphane Ruffier,24500000.00
José Callejón,24500000.00
Ömer Toprak,24500000.00
Mario Balotelli,24500000.00
Manuel Lanzini,24500000.00
Keylor Navas,24500000.00
Idrissa Gueye,24500000.00
Antonio Rüdiger,24500000.00
Domenico Berardi,24500000.00
Williams,24500000.00
Malcom,24500000.00
Kyle Walker,24000000.00
Douglas Costa,24000000.00
Ross Barkley,24000000.00
Felipe Anderson,24000000.00
Iñigo Martínez,24000000.00
Stefan Savic,24000000.00
Raphaël Guerreiro,24000000.00
Morgan Sanson,24000000.00
Bruma,24000000.00
Daniel Sturridge,23500000.00
Mario Mandžukic,23500000.00
Rafinha,23500000.00
Adrien Rabiot,23500000.00
Youri Tielemans,23500000.00
Medhi Benatia,23000000.00
Yacine Brahimi,23000000.00
Gylfi Sigurðsson,23000000.00
Lars Stindl,23000000.00
Victor Wanyama,23000000.00
Jesús Corona,23000000.00
Pizzi,23000000.00
Jonathan Viera,23000000.00
Karim Bellarabi,23000000.00
Hakim Ziyech,23000000.00
Andreas Christensen,23000000.00
Marcelo Brozovic,23000000.00
Franck Ribéry,22500000.00
Carlos Vela,22500000.00
Marko Arnautovic,22500000.00
Mario Götze,22500000.00
Wilfried Zaha,22500000.00
Cédric Bakambu,22500000.00
Anthony Lopes,22500000.00
Franco Vázquez,22500000.00
Javier Hernández,22000000.00
Max Kruse,22000000.00
Christian Benteke,22000000.00
Jack Wilshere,22000000.00
Nathaniel Clyne,22000000.00
Danijel Subašic,22000000.00
Alessandro Florenzi,22000000.00
Jorginho,22000000.00
Julian Brandt,22000000.00
Andrej Kramaric,22000000.00
Islam Slimani,22000000.00
Marcus Rashford,22000000.00
Olivier Giroud,21500000.00
Jordan Henderson,21500000.00
Marlos,21500000.00
Taison,21500000.00
Juan Cuadrado,21500000.00
Sergio Rico,21500000.00
Carlos Bacca,21500000.00
Davinson Sánchez,21500000.00
Gary Cahill,21000000.00
Laurent Koscielny,21000000.00
Samir Nasri,21000000.00
Danny Rose,21000000.00
Yann Sommer,21000000.00
Stevan Jovetic,21000000.00
Steven N'Zonzi,21000000.00
Nemanja Matic,21000000.00
Kevin Kampl,21000000.00
Wissam Ben Yedder,21000000.00
Marcos Rojo,21000000.00
Simone Zaza,21000000.00
Héctor Bellerín,21000000.00
Michael Keane,21000000.00
Julian Weigl,21000000.00
Arda Turan,20500000.00
João Moutinho,20500000.00
Gonzalo Castro,20500000.00
Beñat,20500000.00
Giuliano,20500000.00
Ryad Boudebouz,20500000.00
Denis Suárez,20500000.00
Alassane Pléa,20500000.00
Piotr Zielinski,20500000.00
Joshua Kimmich,20500000.00
Nélson Semedo,20500000.00
Mario Gómez,20000000.00
Borja Valero,20000000.00
Lars Bender,20000000.00
Benedikt Höwedes,20000000.00
Sebastian Rudy,20000000.00
Nicolás Otamendi,20000000.00
Víctor Ruíz,20000000.00
Alex Oxlade-Chamberlain,20000000.00
Michy Batshuayi,20000000.00
Samu Castillejo,20000000.00
Sergej Milinkovic-Savic,20000000.00
Santi Cazorla,19500000.00
Oguzhan Özyakup,19500000.00
Sergi Roberto,19500000.00
Thorgan Hazard,19500000.00
Emre Can,19500000.00
Kerem Demirbay,19500000.00
Nabil Bentaleb,19500000.00
Kasper Schmeichel,19000000.00
Ezequiel Garay,19000000.00
Stephan El Shaarawy,19000000.00
Serge Aurier,19000000.00
Kevin Volland,19000000.00
Leo Baptistao,19000000.00
Daniele Rugani,19000000.00
Ángel Correa,19000000.00
Erik Lamela,18500000.00
Bruno,18500000.00
Kevin Trapp,18500000.00
Ricardo Rodríguez,18500000.00
Younès Belhanda,18500000.00
Pablo Sarabia,18500000.00
Luis Muriel,18500000.00
Lucas Pérez,18500000.00
Thomas Meunier,18500000.00
Serge Gnabry,18500000.00
Wylan Cyprien,18500000.00
Mahmoud Dahoud,18500000.00
Ljubomir Fejsa,18000000.00
Konstantinos Mitroglou,18000000.00
Diego Perotti,18000000.00
Nikola Kalinic,18000000.00
Wojciech Szczesny,18000000.00
Camacho,18000000.00
Illarramendi,18000000.00
Mario Gaspar,18000000.00
Roberto Pereyra,18000000.00
Oliver Baumann,18000000.00
Sebastián Coates,18000000.00
Bartra,18000000.00
Jack Butland,18000000.00
Roque Mesa,18000000.00
Arkadiusz Milik,18000000.00
Luciano Vietto,18000000.00
Felipe,18000000.00
Max Meyer,18000000.00
Kingsley Coman,18000000.00
Oyarzabal,18000000.00
Raffael,17500000.00
Lucas Biglia,17500000.00
Loïc Perrin,17500000.00
Kevin Mirallas,17500000.00
Rui Patrício,17500000.00
Danny Welbeck,17500000.00
Fedor Smolov,17500000.00
Paulinho,17500000.00
Iturraspe,17500000.00
Michail Antonio,17500000.00
Marcos Alonso,17500000.00
André Schürrle,17500000.00
Roberto Soriano,17500000.00
Sergi Enrich,17500000.00
Dejan Lovren,17500000.00
Grzegorz Krychowiak,17500000.00
Allan,17500000.00
Paco Alcácer,17500000.00
Nacho Fernández,17500000.00
Bertrand Traoré,17500000.00
Grimaldo,17500000.00
Marco Benassi,17500000.00
Emiliano Rigoni,17500000.00
Jemerson,17500000.00
Hatem Ben Arfa,17000000.00
Antonio Valencia,17000000.00
Raúl García,17000000.00
Mamadou Sakho,17000000.00
Ganso,17000000.00
Iborra,17000000.00
Chris Smalling,17000000.00
Mário Fernandes,17000000.00
Gary Medel,17000000.00
Daniel Didavi,17000000.00
Francesco Acerbi,17000000.00
Memphis Depay,17000000.00
John Brooks,17000000.00
Bernard,17000000.00
Óliver Torres,17000000.00
Jamie Vardy,17000000.00
Ricardo Pereira,17000000.00
Sofiane Boufal,17000000.00
Anderson Talisca,17000000.00
Dani García,17000000.00
Florin Andone,17000000.00
Jonathan dos Santos,16500000.00
Jonas,16500000.00
Federico Fazio,16500000.00
Alan Dzagoev,16500000.00
Manolo Gabbiadini,16500000.00
Layvin Kurzawa,16500000.00
Matija Nastasic,16500000.00
Daniele Baselli,16500000.00
Maximilian Arnold,16500000.00
Leandro Paredes,16500000.00
Gerard Moreno,16500000.00
Dani Ceballos,16500000.00
Christian Pulisic,16500000.00
Christian Pulisic,16500000.00
Christian Pulisic,16500000.00
Christian Pulisic,16500000.00
Kasper Dolberg,16500000.00
Miguel Almirón,16500000.00
André-Pierre Gignac,16000000.00
Simon Kjær,16000000.00
Salomón Rondón,16000000.00
Adem Ljajic,16000000.00
Eduardo Salvio,16000000.00
Keko,16000000.00
Riccardo Saponara,16000000.00
Paul-Georges Ntep,16000000.00
Nicola Sansone,16000000.00
Valère Germain,16000000.00
Rubén Pardo,16000000.00
Oleg Shatov,16000000.00
Alessio Romagnoli,16000000.00
Alex Telles,16000000.00
Diego Llorente,16000000.00
Marcos Acuña,16000000.00
Quaresma,15500000.00
Wayne Rooney,15500000.00
Wesley Sneijder,15500000.00
James McCarthy,15500000.00
Iago Falqué,15500000.00
Canales,15500000.00
Alexandr Kokorin,15500000.00
Yunus Malli,15500000.00
Nicolai Jørgensen,15500000.00
Emre Çolak,15500000.00
Zé Luís,15500000.00
Arrizabalaga,15500000.00
Sead Kolašinac,15500000.00
Antonio Sanabria,15500000.00
Soares,15500000.00
André Silva,15500000.00
Raúl Albiol,15000000.00
Benoît Costil,15000000.00
Theo Walcott,15000000.00
Bojan,15000000.00
Vedran Corluka,15000000.00
Kevin Vogt,15000000.00
Hugo Mallo,15000000.00
Patrick Herrmann,15000000.00
Josuha Guilavogui,15000000.00
Dušan Tadic,15000000.00
Jasper Cillessen,15000000.00
Josip Ilicic,15000000.00
Kurt Zouma,15000000.00
James Ward-Prowse,15000000.00
João Cancelo,15000000.00
Leander Dendoncker,15000000.00
Divock Origi,15000000.00
Divock Origi,15000000.00
Divock Origi,15000000.00
Divock Origi,15000000.00
Victor Nilsson Lindelöf,15000000.00
Juanfran,14500000.00
Daniel Wass,14500000.00
Lukasz Piszczek,14500000.00
Kevin-Prince Boateng,14500000.00
Eder,14500000.00
Jeremain Lens,14500000.00
Sidnei,14500000.00
Ibrahima Traoré,14500000.00
Mikel San José,14500000.00
Gustavo Bou,14500000.00
Lukáš Hrádecký,14500000.00
Yaroslav Rakitskyi,14500000.00
Vladimír Darida,14500000.00
Jannik Vestergaard,14500000.00
John Stones,14500000.00
M'Baye Niang,14500000.00
Roberto Gagliardini,14500000.00
Roberto Gagliardini,14500000.00
Roberto Gagliardini,14500000.00
Roberto Gagliardini,14500000.00
Bruno Fernandes,14500000.00
Bruno Fernandes,14500000.00
Bruno Fernandes,14500000.00
Bruno Fernandes,14500000.00
Iuri Medeiros,14500000.00
Alan Ruiz,14500000.00
Theo Bongonda,14500000.00
Clément Lenglet,14500000.00
Hirving Lozano,14500000.00
Franco Cervi,14500000.00
Vincent Koziello,14500000.00
Vincent Koziello,14500000.00
Vincent Koziello,14500000.00
Vincent Koziello,14500000.00
Patrik Schick,14500000.00
Joe Hart,14000000.00
Héctor Herrera,14000000.00
Andrea Consigli,14000000.00
Asmir Begovic,14000000.00
Antonio Candreva,14000000.00
Pedro León,14000000.00
Valter Birsa,14000000.00
Mathieu Valbuena,14000000.00
Séamus Coleman,14000000.00
Danny Drinkwater,14000000.00
Muniain,14000000.00
De Marcos,14000000.00
Borja Bastón,14000000.00
Lucas Digne,14000000.00
Fernando,14000000.00
Sergi Darder,14000000.00
Sergi Darder,14000000.00
Sergi Darder,14000000.00
Sergi Darder,14000000.00
Mohamed Elyounoussi,14000000.00
Tonny Vilhena,14000000.00
Loris Karius,14000000.00
Luke Shaw,14000000.00
Taras Stepanenko,14000000.00
Jonas Hector,14000000.00
Andreas Pereira,14000000.00
Filip Kostic,14000000.00
Filip Kostic,14000000.00
Filip Kostic,14000000.00
Filip Kostic,14000000.00
Carles Gil,14000000.00
Carles Gil,14000000.00
Carles Gil,14000000.00
Carles Gil,14000000.00
Nicolás Tagliafico,14000000.00
Gayà,14000000.00
Alisson,14000000.00
Rafa,14000000.00
Rafa,14000000.00
Rafa,14000000.00
Rafa,14000000.00
Andrija Živkovic,14000000.00
Breel Embolo,14000000.00
Valentin Rongier,14000000.00
Valentin Rongier,14000000.00
Valentin Rongier,14000000.00
Valentin Rongier,14000000.00
Diogo Jota,14000000.00
Pablo Fornals,14000000.00
Lucas Tousart,14000000.00
Lucas Tousart,14000000.00
Lucas Tousart,14000000.00
Lucas Tousart,14000000.00
Pepe,13500000.00
Bastian Schweinsteiger,13500000.00
Emiliano Viviano,13500000.00
Andrés Guardado,13500000.00
Marcelo Díaz,13500000.00
Sven Bender,13500000.00
Fernando Néstor Muslera,13500000.00
Orestis Karnezis,13500000.00
Marco Parolo,13500000.00
Matteo Darmian,13500000.00
Kyriakos Papadopoulos,13500000.00
Daniel Carriço,13500000.00
Daley Blind,13500000.00
Jeffrey Bruma,13500000.00
Florian Lejeune,13500000.00
Vincent Aboubakar,13500000.00
Vincent Aboubakar,13500000.00
Vincent Aboubakar,13500000.00
Vincent Aboubakar,13500000.00
Bruno Martins Indi,13500000.00
John Guidetti,13500000.00
John Guidetti,13500000.00
John Guidetti,13500000.00
John Guidetti,13500000.00
Marco van Ginkel,13500000.00
Pablo Hernández,13500000.00
Jeison Murillo,13500000.00
Leonardo Bittencourt,13500000.00
Šime Vrsaljko,13500000.00
Konstantinos Fortounis,13500000.00
Konstantinos Fortounis,13500000.00
Konstantinos Fortounis,13500000.00
Konstantinos Fortounis,13500000.00
Willi Orban,13500000.00
Marcel Sabitzer,13500000.00
Marcel Sabitzer,13500000.00
Marcel Sabitzer,13500000.00
Marcel Sabitzer,13500000.00
Bernat,13500000.00
Josef Alexander Martínez,13500000.00
Elseid Hysaj,13500000.00
Diego Laxalt,13500000.00
Diego Laxalt,13500000.00
Diego Laxalt,13500000.00
Diego Laxalt,13500000.00
Sardar Azmoun,13500000.00
Nikola Maksimovic,13500000.00
Davide Zappacosta,13500000.00
Sandro,13500000.00
Lucas Hernández,13500000.00
Sebastián Driussi,13500000.00
Nemanja Radoja,13500000.00
Manuel Fernandes,13000000.00
Salomon Kalou,13000000.00
Giovani dos Santos,13000000.00
Davide Astori,13000000.00
André Ayew,13000000.00
Sofiane Feghouli,13000000.00
Marco Fabián,13000000.00
Jonathas,13000000.00
Wilfried Bony,13000000.00
Fabián Orellana,13000000.00
Alphonse Areola,13000000.00
Simone Verdi,13000000.00
Rogelio Funes Mori,13000000.00
Rogelio Funes Mori,13000000.00
Rogelio Funes Mori,13000000.00
Rogelio Funes Mori,13000000.00
Rodrigo,13000000.00
Rodrigo,13000000.00
Rodrigo,13000000.00
Rodrigo,13000000.00
Nathan Redmond,13000000.00
Oriol Romeu,13000000.00
Yevhen Konoplyanka,13000000.00
Djibril Sidibé,13000000.00
Cédric,13000000.00
Faouzi Ghoulam,13000000.00
Gastón Ramírez,13000000.00
Pozuelo,13000000.00
Pozuelo,13000000.00
Pozuelo,13000000.00
Pozuelo,13000000.00
Christoph Kramer,13000000.00
Benjamin Mendy,13000000.00
Edin Višca,13000000.00
Jesse Lingard,13000000.00
Jesse Lingard,13000000.00
Jesse Lingard,13000000.00
Jesse Lingard,13000000.00
Duván Zapata,13000000.00
Alen Halilovic,13000000.00
José Izquierdo,13000000.00
Matias Vecino,13000000.00
Nadiem Amiri,13000000.00
Lorenzo Pellegrini,13000000.00
Yaya Touré,12500000.00
Rune Almenning Jarstein,12500000.00
Fernandinho,12500000.00
Leighton Baines,12500000.00
Steve Mandanda,12500000.00
Ashley Williams,12500000.00
Victor Moses,12500000.00
Augusto Fernández,12500000.00
Fabian Johnson,12500000.00
Pablo Piatti,12500000.00
Sandro Wagner,12500000.00
Rochina,12500000.00
Seydou Doumbia,12500000.00
Cenk Tosun,12500000.00
Hernán Pérez,12500000.00
Andros Townsend,12500000.00
Phil Jones,12500000.00
Juanmi,12500000.00
Vicente Gómez,12500000.00
Lukasz Teodorczyk,12500000.00
Lorenzo Tonelli,12500000.00
Gabriel,12500000.00
Valentin Eysseric,12500000.00
Valentin Eysseric,12500000.00
Valentin Eysseric,12500000.00
Valentin Eysseric,12500000.00
Salif Sané,12500000.00
Emiliano Sala,12500000.00
Raúl Jiménez,12500000.00
Vitinho,12500000.00
Adnan Januzaj,12500000.00
Marcos Lopes,12500000.00
Hernâni,12500000.00
Hernâni,12500000.00
Hernâni,12500000.00
Hernâni,12500000.00
Niklas Stark,12500000.00
Niklas Stark,12500000.00
Niklas Stark,12500000.00
Niklas Stark,12500000.00
Iván Marcone,12500000.00
Juan Pablo Añor,12500000.00
Rúben Semedo,12500000.00
Rúben Semedo,12500000.00
Rúben Semedo,12500000.00
Rúben Semedo,12500000.00
Giovanni Simeone,12500000.00
Rodrigo Battaglia,12500000.00
Rodrigo Battaglia,12500000.00
Rodrigo Battaglia,12500000.00
Rodrigo Battaglia,12500000.00
Yoan Cardinale,12500000.00
Jony,12500000.00
Jony,12500000.00
Jony,12500000.00
Jony,12500000.00
Marko Pjaca,12500000.00
Franck Yannick Kessié,12500000.00
Marko Rog,12500000.00
Lukas Podolski,12000000.00
Vedad Ibiševic,12000000.00
Ryan Bertrand,12000000.00
Simon Mignolet,12000000.00
Zlatko Junuzovic,12000000.00
Marouane Fellaini,12000000.00
Nordin Amrabat,12000000.00
Adil Rami,12000000.00
Francis Coquelin,12000000.00
Sébastien Corchia,12000000.00
Maxime Gonalons,12000000.00
Luis Alberto,12000000.00
Nolito,12000000.00
Jordan Veretout,12000000.00
Charly Musonda,12000000.00
Sébastien Haller,12000000.00
Denis Cheryshev,12000000.00
Denis Cheryshev,12000000.00
Denis Cheryshev,12000000.00
Denis Cheryshev,12000000.00
Mitchell Weiser,12000000.00
Mitchell Weiser,12000000.00
Mitchell Weiser,12000000.00
Mitchell Weiser,12000000.00
Abdoulaye Doucouré,12000000.00
Kevin Wimmer,12000000.00
Jhon Córdoba,12000000.00
Otávio,12000000.00
Juan Fernando Quintero,12000000.00
Marc Stendera,12000000.00
Mario Lemina,12000000.00
Gabriel,12000000.00
Lisandro López,12000000.00
Darío Benedetto,12000000.00
Matteo Politano,12000000.00
Maximilian Philipp,12000000.00
Georges-Kévin Nkoudou,12000000.00
Alessandro Schöpf,12000000.00
Rick Karsdorp,12000000.00
Jorge Meré,12000000.00
Rúben Neves,12000000.00
Presnel Kimpembe,12000000.00
Marcos Llorente,12000000.00
Vincent Janssen,12000000.00
Jakub Jankto,12000000.00
Onyinye Ndidi,12000000.00
Yeray,12000000.00
Leon Bailey,12000000.00
Amadou Diawara,12000000.00
Renato Sanches,12000000.00
Timothy Fosu-Mensah,12000000.00
Carlos Soler,12000000.00
Negredo,11500000.00
Bafétimbi Gomis,11500000.00
Zurutuza,11500000.00
Héctor Moreno,11500000.00
Winston Reid,11500000.00
Ignacio Piatti,11500000.00
Adán,11500000.00
Romain Thomas,11500000.00
Luiz Gustavo,11500000.00
Joshua King,11500000.00
Jonjo Shelvey,11500000.00
Juraj Kucka,11500000.00
Giannelli Imbula,11500000.00
Sergio Álvarez,11500000.00
Mark Uth,11500000.00
Aïssa Mandi,11500000.00
Aïssa Mandi,11500000.00
Aïssa Mandi,11500000.00
Aïssa Mandi,11500000.00
Ladislav Krejcí,11500000.00
Stefano Sturaro,11500000.00
Jesé,11500000.00
Eric Botteghin,11500000.00
Amin Younes,11500000.00
Dominique Heintz,11500000.00
Dominique Heintz,11500000.00
Dominique Heintz,11500000.00
Dominique Heintz,11500000.00
Matthias Ginter,11500000.00
Matthias Ginter,11500000.00
Matthias Ginter,11500000.00
Matthias Ginter,11500000.00
Jonas Hofmann,11500000.00
Vincenzo Grifo,11500000.00
Diego Rolán,11500000.00
Levin Öztunali,11500000.00
Matías Kranevitter,11500000.00
Capa,11500000.00
Capa,11500000.00
Capa,11500000.00
Capa,11500000.00
Allan Saint-Maximin,11500000.00
Wallace,11500000.00
Camarasa,11500000.00
Donny van de Beek,11500000.00
Mario Pašalic,11500000.00
Vallejo,11500000.00
Alexandr Golovin,11500000.00
Kelechi Iheanacho,11500000.00
Daniel Podence,11500000.00
Issa Diop,11500000.00
Alban Lafont,11500000.00
Raphinha,11500000.00
Matthijs de Ligt,11500000.00
Federico Chiesa,11500000.00
Fernando Torres,11000000.00
Aduriz,11000000.00
Jurado,11000000.00
Karim El Ahmadi,11000000.00
Tom Heaton,11000000.00
Yohan Cabaye,11000000.00
Diego Valeri,11000000.00
Marcano,11000000.00
Henri Saivet,11000000.00
Jefferson Montero,11000000.00
Marcel Schmelzer,11000000.00
Jeroen Zoet,11000000.00
Andrea Bertolacci,11000000.00
Davy Pröpper,11000000.00
Martin Braithwaite,11000000.00
Alper Potuk,11000000.00
Andre Gray,11000000.00
Tom Cairney,11000000.00
Charlie Austin,11000000.00
Nacer Chadli,11000000.00
Nicolas De Préville,11000000.00
Diego Demme,11000000.00
Gregoire Defrel,11000000.00
Pavel Kaderábek,11000000.00
Lucas Andersen,11000000.00
Joel Campbell,11000000.00
Lucas Ocampos,11000000.00
Ben Davies,11000000.00
Bigas,11000000.00
Bigas,11000000.00
Bigas,11000000.00
Bigas,11000000.00
Yussuf Poulsen,11000000.00
Jozabed,11000000.00
Bruno Peres,11000000.00
Renato Steffen,11000000.00
Paulo Oliveira,11000000.00
Paulo Oliveira,11000000.00
Paulo Oliveira,11000000.00
Paulo Oliveira,11000000.00
Moussa Dembélé,11000000.00
Santi Mina,11000000.00
Stanislav Kritsyuk,11000000.00
Ricardo Horta,11000000.00
Seko Fofana,11000000.00
Erick Gutiérrez,11000000.00
Badou Ndiaye,11000000.00
Hélder Costa,11000000.00
Steve Mounié,11000000.00
Martín Campaña,11000000.00
André Onana,11000000.00
André Onana,11000000.00
André Onana,11000000.00
André Onana,11000000.00
Bart Ramselaar,11000000.00
Benjamin Henrichs,11000000.00
Gil Dias,11000000.00
Adalberto Peñaranda,11000000.00
Amath Ndiaye Diedhiou,11000000.00
Henry Onyekuru,11000000.00
José Reina,10500000.00
Petr Cech,10500000.00
Daniele De Rossi,10500000.00
Javier Mascherano,10500000.00
Gabi,10500000.00
Vitaliy Denisov,10500000.00
Coke,10500000.00
Domenico Criscito,10500000.00
Rui Fonte,10500000.00
Yann M'Vila,10500000.00
Artem Dzyuba,10500000.00
Lewis Holtby,10500000.00
Matt Phillips,10500000.00
Sofiane Hanni,10500000.00
Yannick Bolasie,10500000.00
Benjamin Hübner,10500000.00
Yannis Salibur,10500000.00
Yuya Osako,10500000.00
Escudero,10500000.00
Aaron Mooy,10500000.00
Nicolás Lodeiro,10500000.00
Khouma Babacar,10500000.00
Marco Höger,10500000.00
Marco Höger,10500000.00
Marco Höger,10500000.00
Marco Höger,10500000.00
Jordi Amat,10500000.00
Charles Aránguiz,10500000.00
Charles Aránguiz,10500000.00
Charles Aránguiz,10500000.00
Charles Aránguiz,10500000.00
Danilo,10500000.00
Danilo,10500000.00
Danilo,10500000.00
Danilo,10500000.00
Sergi Gómez,10500000.00
André André,10500000.00
André André,10500000.00
André André,10500000.00
André André,10500000.00
Dennis Praet,10500000.00
Nicolás Blandi,10500000.00
Sebastian Rode,10500000.00
Cristian Tello,10500000.00
Milan Badelj,10500000.00
Milan Badelj,10500000.00
Milan Badelj,10500000.00
Milan Badelj,10500000.00
Ahmed Musa,10500000.00
Javi Espinosa,10500000.00
Leonardo Spinazzola,10500000.00
Harry Maguire,10500000.00
André Carrillo,10500000.00
Joãozinho,10500000.00
Saido Berahino,10500000.00
Jürgen Locadia,10500000.00
Lucas Castro,10500000.00
Jairo,10500000.00
Yassine Benzia,10500000.00
Alfred Duncan,10500000.00
Abdul Rahman Baba,10500000.00
Thomas Partey,10500000.00
Alexander Szymanowski,10500000.00
Alexander Szymanowski,10500000.00
Alexander Szymanowski,10500000.00
Alexander Szymanowski,10500000.00
Karol Linetty,10500000.00
Nicolás Castillo,10500000.00
Roman Zobnin,10500000.00
Yimmi Chará,10500000.00
Kenny Tete,10500000.00
Carlos Mané,10500000.00
Wesley Hoedt,10500000.00
Federico Cartabia,10500000.00
Gonzalo Escalante,10500000.00
Mattia Caldara,10500000.00
Rafael Santos Borré,10500000.00
Mariano,10500000.00
Omar Al Soma,10500000.00
Omar Al Soma,10500000.00
Omar Al Soma,10500000.00
Omar Al Soma,10500000.00
Cristian Pavón,10500000.00
Fábio Martins,10500000.00
Alex Meret,10500000.00
Aritz Elustondo,10500000.00
Marcus Coco,10500000.00
Francisco Geraldes,10500000.00
Yoshinori Muto,10500000.00
Dalbert,10500000.00
